User name,Event time,Event name,Source IP address,Error code,Resources,Event type,Event category,Hour_of_Day,Time_of_Day_Bucket,Is_Root_Account,Is_High_Risk_Action,Is_Console_Login,Is_Security_Error,Risk_Score,Risk_Level,Risk_Sort
root,2026-03-30 06:25:32+00:00,PutMetricAlarm,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""S3-Data-Exfiltration-Alert""}]",AwsApiCall,Management,6,Morning,True,False,False,False,5,Medium,3
root,2026-03-30 06:10:45+00:00,PutMetricFilter,99.237.32.xxx,,[],AwsApiCall,Management,6,Morning,True,False,False,False,5,Medium,3
root,2026-03-30 04:15:42+00:00,CreateAccessKey,99.237.32.xxx,,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAxxxxxxxxxxxxxxxx""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""project-user""}]",AwsApiCall,Management,4,Outside-Hours,True,True,False,False,14,Critical,1
root,2026-03-30 03:45:24+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,3,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-03-30 03:40:16+00:00,PutEventSelectors,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:xxxxxxxxxxxx:trail/SOC-cloudtrail""}]",AwsApiCall,Management,3,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-30 03:34:08+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,3,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-03-30 03:26:28+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,3,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-03-30 03:24:12+00:00,PutEventSelectors,99.237.32.xxx,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:xxxxxxxxxxxx:trail/SOC-cloudtrail""}]",AwsApiCall,Management,3,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-30 03:01:20+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,3,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-03-30 02:47:13+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,2,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-03-30 02:06:15+00:00,ConsoleLogin,99.237.32.xxx,,[],AwsConsoleSignIn,Management,2,Outside-Hours,True,False,True,False,7,Medium,3
root,2026-03-30 01:29:50+00:00,CreateBucket,99.237.32.xxx,,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""soc-sensitive-data""}]",AwsApiCall,Management,1,Outside-Hours,True,False,False,False,7,Medium,3
root,2026-03-30 01:29:50+00:00,PutBucketEncryption,99.237.32.xxx,,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""soc-sensitive-data""}]",AwsApiCall,Management,1,Outside-Hours,True,False,False,False,7,Medium,3
